Date,MachineID,TimeStateEventID,Tool,hits applied,min life,max life,PartID
2022-03-01 01:00:00,1,235,T9,0,200000,500000,-1
2022-03-02 11:02:47+00:00,1,105,T9,205,199795,499795,72
2022-03-02 11:44:23+00:00,1,106,T9,8,199787,499787,79
2022-03-03 14:35:30+00:00,1,111,T9,114,199673,499673,4
2022-03-04 09:48:23+00:00,1,118,T9,138,199535,499535,42
2022-03-08 09:27:26+00:00,1,135,T9,1078,198457,498457,2
2022-03-08 10:06:06+00:00,1,131,T9,294,198163,498163,2
2022-03-08 10:26:08+00:00,1,133,T9,980,197183,497183,2
2022-03-08 12:46:01+00:00,1,134,T9,1960,195223,495223,2
2022-03-09 10:04:02+00:00,1,144,T9,570,194653,494653,14
2022-03-09 10:21:34+00:00,1,143,T9,980,193673,493673,31
2022-03-09 11:18:12+00:00,1,140,T9,2730,190943,490943,31
2022-03-09 13:23:45+00:00,1,137,T9,441,190502,490502,2
2022-03-10 13:18:21+00:00,1,150,T9,1050,189452,489452,31
2022-03-14 09:33:41+00:00,1,158,T9,115,189337,489337,42
2022-03-14 09:42:21+00:00,1,153,T9,138,189199,489199,73
2022-03-14 12:23:21+00:00,1,156,T9,114,189085,489085,4
2022-03-14 12:37:07+00:00,1,155,T9,82,189003,489003,87
2022-03-14 12:49:20+00:00,1,159,T9,304,188699,488699,88
2022-03-15 09:09:20+00:00,1,162,T9,574,188125,488125,48
2022-03-15 10:11:29+00:00,1,163,T9,1027,187098,487098,71
2022-03-16 10:00:00+00:00,1,200,T9,790,186308,486308,71
2022-03-16 21:21:00+00:00,1,199,T9,574,185734,485734,70
2022-03-17 09:57:00+00:00,1,210,T9,70,185664,485664,31
2022-03-17 13:17:00+00:00,1,211,T9,980,184684,484684,31
2022-04-04 13:19:00+00:00,1,208,T9,8,184676,484676,102
2022-04-13 02:35:00+00:00,1,229,T9,320,184356,484356,76
