Date,MachineID,TimeStateEventID,Tool,hits applied,min life,max life,PartID
2022-03-01 01:00:00,1,235,T11,0,200000,500000,-1
2022-03-02 11:02:47+00:00,1,105,T11,205,199795,499795,72
2022-03-02 11:44:23+00:00,1,106,T11,8,199787,499787,79
2022-03-04 11:40:23+00:00,1,113,T11,560,199227,499227,95
2022-03-07 11:09:02+00:00,1,122,T11,550,198677,498677,93
2022-03-07 11:58:34+00:00,1,130,T11,850,197827,497827,93
2022-03-07 12:40:10+00:00,1,128,T11,1665,196162,496162,92
2022-03-07 13:59:02+00:00,1,127,T11,160,196002,496002,25
2022-03-07 14:28:13+00:00,1,129,T11,264,195738,495738,13
2022-03-09 10:21:34+00:00,1,143,T11,980,194758,494758,31
2022-03-09 11:18:12+00:00,1,140,T11,2730,192028,492028,31
2022-03-09 11:18:47+00:00,1,142,T11,1440,190588,490588,39
2022-03-09 12:49:46+00:00,1,136,T11,192,190396,490396,13
2022-03-10 11:08:14+00:00,1,149,T11,56,190340,490340,6
2022-03-10 13:02:38+00:00,1,152,T11,450,189890,489890,11
2022-03-10 13:18:21+00:00,1,150,T11,1050,188840,488840,31
2022-03-14 08:34:15+00:00,1,154,T11,598,188242,488242,41
2022-03-14 09:55:22+00:00,1,157,T11,144,188098,488098,13
2022-03-14 10:05:59+00:00,1,161,T11,72,188026,488026,13
2022-03-14 11:03:46+00:00,1,160,T11,300,187726,487726,32
2022-03-14 12:37:07+00:00,1,155,T11,82,187644,487644,87
2022-03-14 12:49:20+00:00,1,159,T11,304,187340,487340,88
2022-03-15 09:09:20+00:00,1,162,T11,574,186766,486766,48
2022-03-16 21:21:00+00:00,1,199,T11,574,186192,486192,70
2022-03-17 09:57:00+00:00,1,210,T11,70,186122,486122,31
2022-03-17 13:17:00+00:00,1,211,T11,980,185142,485142,31
2022-03-29 11:30:00+00:00,1,202,T11,2392,182750,482750,41
2022-04-01 09:28:00+00:00,1,218,T11,640,182110,482110,64
2022-04-01 09:46:00+00:00,1,219,T11,837,181273,481273,103
2022-04-01 13:06:00+00:00,1,216,T11,760,180513,480513,62
2022-04-04 09:51:00+00:00,1,204,T11,240,180273,480273,59
2022-04-04 12:49:00+00:00,1,207,T11,18,180255,480255,60
2022-04-04 13:19:00+00:00,1,208,T11,8,180247,480247,102
2022-04-04 13:50:00+00:00,1,209,T11,285,179962,479962,104
2022-04-13 02:35:00+00:00,1,229,T11,320,179642,479642,76
2022-04-13 02:50:00+00:00,1,230,T11,250,179392,479392,94
2022-04-13 10:23:00+00:00,1,224,T11,240,179152,479152,19
2022-04-13 12:32:00+00:00,1,228,T11,120,179032,479032,67
