Date,MachineID,TimeStateEventID,Tool,hits applied,min life,max life,PartID
2022-03-01 01:00:00,1,235,T16,0,200000,500000,-1
2022-03-03 14:35:30+00:00,1,111,T16,114,199886,499886,4
2022-03-04 09:48:23+00:00,1,118,T16,138,199748,499748,42
2022-03-07 13:59:02+00:00,1,127,T16,160,199588,499588,25
2022-03-08 09:27:26+00:00,1,135,T16,1078,198510,498510,2
2022-03-08 10:06:06+00:00,1,131,T16,294,198216,498216,2
2022-03-08 10:26:08+00:00,1,133,T16,980,197236,497236,2
2022-03-08 12:46:01+00:00,1,134,T16,1960,195276,495276,2
2022-03-09 13:23:45+00:00,1,137,T16,441,194835,494835,2
2022-03-10 11:08:14+00:00,1,149,T16,56,194779,494779,6
2022-03-14 09:33:41+00:00,1,158,T16,115,194664,494664,42
2022-03-14 09:42:21+00:00,1,153,T16,138,194526,494526,73
2022-03-14 12:23:21+00:00,1,156,T16,114,194412,494412,4
