Date,MachineID,TimeStateEventID,Tool,hits applied,min life,max life,PartID
2022-03-01 01:00:00,1,235,T19,0,200000,500000,-1
2022-03-04 09:48:23+00:00,1,118,T19,138,199862,499862,42
2022-03-08 11:25:31+00:00,1,132,T19,495,199367,499367,69
2022-03-09 10:21:34+00:00,1,143,T19,980,198387,498387,31
2022-03-09 11:18:12+00:00,1,140,T19,2730,195657,495657,31
2022-03-10 13:18:21+00:00,1,150,T19,1050,194607,494607,31
2022-03-14 09:33:41+00:00,1,158,T19,115,194492,494492,42
2022-03-15 10:11:29+00:00,1,163,T19,1027,193465,493465,71
2022-03-16 10:00:00+00:00,1,200,T19,790,192675,492675,71
2022-03-17 09:57:00+00:00,1,210,T19,70,192605,492605,31
2022-03-17 13:17:00+00:00,1,211,T19,980,191625,491625,31
2022-03-22 09:42:00+00:00,1,198,T19,1155,190470,490470,69
