Date,MachineID,TimeStateEventID,Tool,hits applied,min life,max life,PartID
2022-03-01 01:00:00,1,235,T17,0,200000,500000,-1
2022-03-03 14:35:30+00:00,1,111,T17,114,199886,499886,4
2022-03-04 09:48:23+00:00,1,118,T17,138,199748,499748,42
2022-03-07 12:40:10+00:00,1,128,T17,1665,198083,498083,92
2022-03-07 14:28:13+00:00,1,129,T17,264,197819,497819,13
2022-03-09 11:18:47+00:00,1,142,T17,1440,196379,496379,39
2022-03-09 12:49:46+00:00,1,136,T17,192,196187,496187,13
2022-03-09 14:55:49+00:00,1,145,T17,180,196007,496007,52
2022-03-14 09:33:41+00:00,1,158,T17,115,195892,495892,42
2022-03-14 09:42:21+00:00,1,153,T17,138,195754,495754,73
2022-03-14 09:55:22+00:00,1,157,T17,144,195610,495610,13
2022-03-14 10:05:59+00:00,1,161,T17,72,195538,495538,13
2022-03-14 12:23:21+00:00,1,156,T17,114,195424,495424,4
2022-04-01 09:46:00+00:00,1,219,T17,837,194587,494587,103
2022-04-04 09:51:00+00:00,1,204,T17,240,194347,494347,59
2022-04-04 12:29:00+00:00,1,206,T17,336,194011,494011,58
2022-04-13 10:23:00+00:00,1,224,T17,240,193771,493771,19
2022-04-13 11:26:00+00:00,1,226,T17,132,193639,493639,66
