Date,MachineID,TimeStateEventID,Tool,hits applied,min life,max life,PartID
2022-03-01 01:00:00,1,235,T20,0,200000,500000,-1
2022-03-07 14:17:30+00:00,1,126,T20,40,199960,499960,83
2022-03-09 10:04:02+00:00,1,144,T20,570,199390,499390,14
2022-03-09 14:05:18+00:00,1,138,T20,35,199355,499355,46
2022-03-09 14:09:59+00:00,1,139,T20,385,198970,498970,46
2022-03-14 09:42:21+00:00,1,153,T20,138,198832,498832,73
2022-03-22 09:20:00+00:00,1,197,T20,130,198702,498702,68
2022-04-13 11:51:00+00:00,1,227,T20,45,198657,498657,30
